x,y,z,latitude,longitude,bearing,accuracy,light,timestamp
-1.1804742,1.1036121,9.061122,23.54308817,87.29041557,78.66329193,4.288,1939,2100832
-2.0182462,-1.0977646,9.921369,23.54308817,87.29041557,78.66329193,4.288,1939,2100837
-2.0858467,-0.39871916,8.74263,23.54308817,87.29041557,78.66329193,4.288,1939,2100869
-1.6154488,0.33240438,9.604428,23.54308817,87.29041557,78.66329193,4.288,1939,2100873
-1.9881934,-0.24642931,9.836756,23.54308817,87.29041557,78.66329193,4.288,1939,2100908
-1.7282379,-0.6857804,8.728797,23.54308817,87.29041557,78.66329193,4.288,1939,2100914
-1.56877,-0.1158247,9.874516,23.54308817,87.29041557,78.66329193,4.288,1939,2100947
-1.616874,0.43579152,9.182749,23.54308817,87.29041557,78.66329193,4.288,1939,2100952
-1.9904789,-1.9540229,9.592241,23.54308817,87.29041557,78.66329193,4.288,1939,2100985
-1.1640077,1.3645389,8.954604,23.54308817,87.29041557,78.66329193,4.288,1939,2100992
-2.223928,-0.8293426,10.383507,23.54308817,87.29041557,78.66329193,4.288,1939,2101024
-1.8452133,-0.32054645,8.074913,23.54308817,87.29041557,78.66329193,4.288,1939,2101045
-1.8085666,-0.5513723,10.317279,23.54308817,87.29041557,78.66329193,4.288,1939,2101066
-1.6002922,0.8864205,9.268132,23.54308817,87.29041557,78.66329193,4.288,1939,2101101
-1.7466282,-1.3791811,8.889975,23.54308817,87.29041557,78.66329193,4.288,1939,2101110
-1.7823524,0.04517587,9.803271,23.54308817,87.29041557,78.66329193,4.288,1939,2101139
-1.5135844,0.49254742,9.094664,23.54308817,87.29041557,78.66329193,4.288,1939,2101155
-1.9036053,-1.646002,9.760481,23.54308817,87.29041557,78.66329193,4.288,1939,2101178
-1.4376857,0.99435,9.026053,23.54308817,87.29041557,78.66329193,4.288,1939,2101191
-1.8823197,-1.0767037,10.139962,23.54308817,87.29041557,78.66329193,4.288,1939,2101215
-1.7867419,-0.027619086,8.515335,23.54308817,87.29041557,78.66329193,4.288,1939,2101224
-1.887294,-0.610377,10.241965,23.54308817,87.29041557,78.66329193,4.288,1939,2101253
-1.5593444,0.78333986,9.075764,23.54308817,87.29041557,78.66329193,4.288,1939,2101263
-1.9230059,-0.8471908,9.020972,23.54308817,87.29041557,78.66329193,4.288,1939,2101293
-2.0895178,-0.6343945,10.011384,23.54308817,87.29041557,78.66329193,4.288,1939,2101309
-1.1026278,1.1435784,8.5062275,23.54308817,87.29041557,78.66329193,4.288,1939,2101332
-1.9067706,-2.0879083,10.233052,23.54308817,87.29041557,78.66329193,4.288,1939,2101348
-1.5259145,0.8135133,8.871777,23.54308817,87.29041557,78.66329193,4.288,1939,2101369
-1.5422875,-0.18412493,9.616271,23.54308817,87.29041557,78.66329193,4.288,1939,2101379
-1.808239,-1.5226555,9.8616295,23.54308817,87.29041557,78.66329193,4.288,1939,2101408
-1.4481872,1.0055304,8.933335,23.54308817,87.29041557,78.66329193,4.288,1939,2101428
-1.7795315,-0.9399991,10.15827,23.54308817,87.29041557,78.66329193,4.288,1939,2101449
-1.642374,-0.3610858,8.751002,23.54308817,87.29041557,78.66329193,4.288,1939,2101465
-1.6549914,0.01971861,9.816413,23.54308817,87.29041557,78.66329193,4.288,1939,2101485
-1.6812404,-0.018580996,9.648842,23.54308817,87.29041557,78.66329193,4.288,1939,2101498
-1.7023379,-0.15804,8.371796,23.54308817,87.29041557,78.66329193,4.288,1939,2101524
-2.0786908,-0.9263352,10.382704,23.54308817,87.29041557,78.66329193,4.288,1939,2101545
-1.09016,1.097928,8.583292,23.54308817,87.29041557,78.66329193,4.288,1939,2101565
-1.8429528,-1.7684739,9.999609,23.54308817,87.29041557,78.66329193,4.288,1939,2101605
-1.5531495,0.66900975,8.9638,23.54308817,87.29041557,78.66329193,4.288,1939,2101628
-1.4522741,-0.36092535,9.517934,23.54308817,87.29041557,78.66329193,4.288,1939,2101637
-1.8198774,-1.3850151,9.989308,23.54308817,87.29041557,78.66329193,4.288,1939,2101639
-1.3837134,1.1012303,8.786344,23.54308817,87.29041553,78.66329193,4.288,1939,2101676
-1.8401937,-0.9954839,10.23221,23.54308817,87.29041553,78.66329193,4.288,1939,2101693
-1.6013008,0.0995822,8.6650305,23.54308817,87.29041553,78.66329193,4.288,1939,2101715
-1.8219323,-0.6748837,10.110081,23.54308817,87.29041553,78.66329193,4.288,1939,2101722
-1.5701189,0.33546036,9.317446,23.54308817,87.29041553,78.66329193,4.288,1939,2101754
-1.6945786,-0.5305702,8.636149,23.54308817,87.29041553,78.66329193,4.288,1939,2101774
-1.8016682,-0.5380888,10.110801,23.54308817,87.29041553,78.66329193,4.288,1939,2101795
-1.1394111,0.96593386,8.632343,23.54308817,87.29041553,78.66329193,4.288,1939,2101811
-1.9234807,-1.6855787,10.351265,23.54308817,87.29041553,78.66329193,4.288,1939,2101830
-1.3933887,1.2462642,8.395167,23.54308817,87.29041553,78.66329193,4.288,1939,2101845
-1.5554023,-1.7335701,10.147466,23.54308817,87.29041553,78.66329193,4.288,1939,2101868
-1.5078658,-0.2028829,9.422964,23.54308817,87.29041553,78.66329193,4.288,1939,2101879
-1.3910985,0.2882915,9.311462,23.54308817,87.29041553,78.66329193,4.288,1939,2101906
-1.7224438,-0.4522315,9.936092,23.54308817,87.29041553,78.66329193,4.288,1939,2101923
-1.6069423,0.32686394,8.700106,23.54308817,87.29041553,78.66329193,4.288,1939,2101945
-1.9705338,-1.1809069,10.039128,23.54308817,87.29041553,78.66329193,4.288,1939,2101963
-1.3308198,0.9045316,8.709172,23.54308817,87.29041553,78.66329193,4.288,1939,2101983
-1.8720031,-1.2675134,9.884003,23.54308817,87.29041553,78.66329193,4.288,1939,2101997
-1.5891463,0.40643564,8.95465,23.54308817,87.29041553,78.66329193,4.288,1939,2102021
-1.2581983,-0.3779178,9.323949,23.54308817,87.29041553,78.66329193,4.288,1939,2102032
-1.8175179,-0.98364615,10.458445,23.54308817,87.29041553,78.66329193,4.288,1939,2102059
-1.3829728,0.84763366,8.578274,23.54308817,87.29041553,78.66329193,4.288,1939,2102098
-1.66443,-1.5211511,10.03312,23.54308817,87.29041553,78.66329193,4.288,1939,2102118
-1.4741362,0.77147895,9.053446,23.54308817,87.29041553,78.66329193,4.288,1939,2102140
-1.8229005,-1.1099399,9.869588,23.54308817,87.29041553,78.66329193,4.288,1939,2102151
-1.2748084,0.58971137,8.913893,23.54308817,87.29041553,78.66329193,4.288,1939,2102175
-1.8680215,-0.66612023,9.816888,23.54308817,87.29041553,78.66329193,4.288,1939,2102184
-1.5870551,-0.099517725,8.894471,23.54308817,87.29041553,78.66329193,4.288,1939,2102213
-1.3974787,-0.5033015,9.613125,23.54308817,87.29041553,78.66329193,4.288,1939,2102223
-1.6561055,0.008666266,9.916856,23.54308817,87.29041553,78.66329193,4.288,1939,2102252
-1.312902,-0.36081278,8.915187,23.54308817,87.29041553,78.66329193,4.288,1939,2102272
-1.312902,-0.36081278,8.915187,23.54308817,87.29041553,78.66329193,4.288,1957,2102290
-1.3938942,-0.95918053,9.865322,23.54308817,87.29041553,78.66329193,4.288,1957,2102304
-1.65377,1.1820328,9.341726,23.54308817,87.29041553,78.66329193,4.288,1957,2102318
-1.9016799,-1.9038686,9.442255,23.54308817,87.29041553,78.66329193,4.288,1957,2102333
-1.2410054,1.178469,8.892687,23.54308817,87.29041553,78.66329193,4.288,1957,2102347
-2.1368868,-0.7856603,10.30652,23.54308817,87.29041553,78.66329193,4.288,1957,2102367
-1.5641644,-0.11134285,8.319842,23.54308817,87.29041553,78.66329193,4.288,1957,2102382
-1.6816419,-0.63566476,10.184286,23.54308817,87.29041553,78.66329193,4.288,1957,2102406
-1.5945107,0.8023155,9.253674,23.54308817,87.29041553,78.66329193,4.288,1957,2102421
-1.7576476,-1.664641,9.385412,23.54308817,87.29041553,78.66329193,4.288,1957,2102444
-1.3999664,0.7577301,9.335449,23.54308817,87.29041553,78.66329193,4.288,1957,2102461
-1.9454523,-0.13535818,9.847001,23.54308817,87.29041553,78.66329193,4.288,1957,2102482
-1.8700187,-0.94415396,8.7374935,23.54308817,87.29041553,78.66329193,4.288,1957,2102495
-1.5482395,0.22899637,9.869613,23.54308817,87.29041553,78.66329193,4.288,1957,2102519
-1.9630419,-0.067047685,9.704753,23.54308817,87.29041553,78.66329193,4.288,1957,2102560
-1.7120667,-0.4438275,8.418192,23.54308817,87.29041553,78.66329193,4.288,1957,2102579
-1.7120667,-0.4438275,8.418192,23.54308817,87.29041553,78.66329193,4.288,1974,2102591
-1.8467661,-0.5364552,10.124624,23.54308817,87.29041553,78.66329193,4.288,1974,2102600
